Stock,Market Cap,Price/Sales,Price/Book,Return on Equity  (ttm),Revenue  (ttm),Quarterly Earnings Growth  (yoy),Operating Cash Flow  (ttm),Total Cash  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),52 Week Range 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,% Held by Insiders 1,Diluted EPS  (ttm),Levered Free Cash Flow  (ttm),Forward Annual Dividend Yield 4,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Price,Beta (5Y Monthly)
CHSN,258.58M,9.38,21.45,-1.88%,15.98M,-91.80%,-2.76M,4.11M,136.61%,0.84,410.69%,337.06k,1.75M,68.11%,-0.02,-1.11M,--,0.00%,--,12.24,--
SOFI,8.82B,3.56,1.49,-1.97%,2.34B,--,-2.68B,2.35B,54.36%,1.19,0.36%,42.33M,34.3M,3.25%,-0.22,--,--,0.00%,--,8.27,1.71
ALTM,4.48B,3.75,0.72,5.48%,908.9M,-5.00%,-4M,380.4M,9.70%,2.26,-58.55%,11.06M,12.69M,0.12%,0.3400,-532.4M,--,0.00%,--,4.1700,1.62
SHOP,104.67B,13.54,11.38,15.31%,7.76B,--,1.3B,5.02B,12.40%,7.32,49.66%,8.26M,5.36M,0.18%,0.99,770.5M,--,0.00%,--,80.86,2.36
AMD,276.74B,12.03,4.89,2.42%,23.28B,881.50%,1.92B,5.34B,3.97%,2.82,56.84%,45.58M,31.95M,0.49%,0.84,2.11B,--,0.00%,--,170.97,1.70
TMUS,243.19B,3.12,3.88,14.73%,79.1B,31.70%,20.76B,6.42B,183.71%,0.84,46.29%,4.01M,3.03M,58.84%,7.98,13.09B,1.69%,1.25%,--,208.33,0.51
RIVN,10.58B,2.04,1.55,-62.50%,5.01B,--,-4.01B,7.87B,89.91%,5.25,-46.84%,33.02M,40.08M,26.94%,-5.95,-3.58B,--,0.00%,--,10.49,2.04
SHOP.TO,142.19B,13.58,11.41,15.31%,7.76B,--,1.3B,5.02B,12.40%,7.32,49.61%,2.75M,2.31M,0.18%,1.34,770.5M,--,0.00%,--,110.19,2.36
RDDT,11.68B,11.89,6.17,--,981.4M,--,35.31M,1.7B,1.48%,12.42,57.35%,3.93M,4.29M,23.00%,-3.47,--,--,0.00%,--,70.44,--
BENF,7.81M,--,--,-178.36%,-85.91M,--,-54.95M,4.4M,117.31%,0.05,-98.08%,3.86M,10.93M,28.29%,-220.9500,-92.21M,--,0.00%,--,1.6100,-1.04
AXP,194.64B,3.14,6.59,34.98%,58.11B,38.70%,25.1B,52.61B,180.04%,1.66,81.40%,2.74M,2.18M,21.44%,13.39,--,1.02%,0.94%,1.29,273.79,1.21
TIGR,1.81B,6.01,3.60,5.49%,250.01M,-80.30%,--,2.09B,33.63%,1.11,131.16%,4.86M,27.12M,19.45%,0.10,--,--,0.00%,--,11.46,0.92
FORD,4.79M,0.14,3.44,-36.39%,31.36M,--,407.17k,2.56M,254.78%,0.86,-42.76%,405.68k,1.92M,17.05%,-0.9100,2.84M,--,0.00%,--,4.3500,0.40
ASTS,4.11B,1.97k,28.28,-103.52%,1.4M,--,-125.23M,285.08M,87.76%,6.38,623.27%,16.96M,11.98M,12.30%,-1.30,-190.05M,--,0.00%,--,24.91,1.62
CDE,2.47B,2.63,2.40,-7.36%,891.76M,--,62.27M,74.14M,61.65%,1.20,177.58%,7.68M,9.02M,1.52%,-0.19,-216.37M,--,0.00%,0.87,6.19,1.65
EH,1.35B,38.04,14.84,-71.02%,248.96M,--,--,956.93M,47.98%,2.12,2.46%,1.09M,2.03M,0.76%,-0.61,--,--,0.00%,--,21.27,1.01
