Type,Stock,Price,Shares to Buy,Amount to Invest
Swing,AMD,170.9,1,170.9
Dividend,ALB,102.09,1,102.09
Swing,AMD,170.9,1,170.9
Swing,PLTR,40.01,1,40.01
Swing,WBA,8.72,1,8.72
Dividend,ALB,102.09,1,102.09
Dividend,PLTR,40.01,1,40.01
Dividend,VFC,21.31,1,21.31
Swing,AMD,170.9,1,170.9
Swing,PLTR,40.01,1,40.01
Swing,WBA,8.72,1,8.72
Dividend,ALB,102.09,1,102.09
Dividend,PLTR,40.01,1,40.01
Dividend,VFC,21.31,1,21.31
Swing,AMD,170.9,1,170.9
Swing,PLTR,40.01,1,40.01
Swing,WBA,8.72,1,8.72
Dividend,ALB,102.09,1,102.09
Dividend,PLTR,40.01,1,40.01
Dividend,VFC,21.31,1,21.31
Swing,AMD,170.9,1,170.9
Swing,PLTR,40.01,1,40.01
Swing,WBA,8.72,1,8.72
Dividend,ALB,102.09,1,102.09
Dividend,PLTR,40.01,1,40.01
Dividend,VFC,21.31,1,21.31
Swing,WBA,8.87,887,7867.69
Swing,NVDA,127.72,29,3703.88
Swing,NMRK,14.65,243,3559.9500000000003
Swing,NSA,44.54,78,3474.12
Swing,VALE,11.52,266,3064.3199999999997
Swing,AAPL,221.69,12,2660.2799999999997
Swing,PFE,29.2,39,1138.8
Swing,KIROY,7.77,124,963.4799999999999
Swing,XOM,125.37,6,752.22
Swing,T,21.78,28,609.84
Dividend,WBA,8.87,2307,20463.089999999997
Dividend,NSA,44.54,230,10244.199999999999
Dividend,NMRK,14.65,584,8555.6
Dividend,AAPL,221.69,31,6872.39
Dividend,NVDA,127.72,53,6769.16
Dividend,VALE,11.52,436,5022.72
Dividend,KIROY,7.77,302,2346.54
Dividend,XOM,125.37,15,1880.5500000000002
Dividend,PFE,29.2,55,1606.0
Dividend,T,21.78,72,1568.16
